Level,Df,SumsOfSqs,MeanSqs,F.Model,R2,Pr(>F)
species,21,141.95,6.76,103.64,0.78,0.0001
sex,11,6.69,0.61,9.33,0.04,0.0001
specimen,82,26.07,0.32,4.88,0.14,0.0001
Residuals,107,6.98,0.07,0.04,,
Total,221,181.69,1,,,
