species	specimen	bodylength	sex	bone	side	absolute_volume
DELPHINUS_CAPENSIS	LACM_84185	211.5	M	rib	right	17617.33
DELPHINUS_CAPENSIS	LACM_84220	212.0	M	pelvic	left	5786.17
DELPHINUS_CAPENSIS	LACM_84220	212.0	M	pelvic	right	6060.85
DELPHINUS_CAPENSIS	LACM_84220	212.0	M	rib	left	17679.81
DELPHINUS_CAPENSIS	LACM_84220	212.0	M	rib	right	16843.52
DELPHINUS_CAPENSIS	LACM_84221	218.5	M	pelvic	left	5424.91
DELPHINUS_CAPENSIS	LACM_84221	218.5	M	pelvic	right	5326.62
DELPHINUS_CAPENSIS	LACM_84221	218.5	M	rib	left	20740.03
DELPHINUS_CAPENSIS	LACM_84221	218.5	M	rib	right	19750.37
DELPHINUS_CAPENSIS	LACM_84233	223.5	M	pelvic	left	7249.95
DELPHINUS_CAPENSIS	LACM_84233	223.5	M	pelvic	right	7068.33
DELPHINUS_CAPENSIS	LACM_84233	223.5	M	rib	left	18281.01
DELPHINUS_CAPENSIS	LACM_84233	223.5	M	rib	right	19076.04
DELPHINUS_CAPENSIS	LACM_84236	208.0	F	pelvic	left	2517.74
DELPHINUS_CAPENSIS	LACM_84236	208.0	F	pelvic	right	2772.02
DELPHINUS_CAPENSIS	LACM_84236	208.0	F	rib	left	12319.58
DELPHINUS_CAPENSIS	LACM_84236	208.0	F	rib	right	11159.29
DELPHINUS_CAPENSIS	LACM_84239	208.5	M	pelvic	left	3965.36
DELPHINUS_CAPENSIS	LACM_84239	208.5	M	pelvic	right	3505.92
DELPHINUS_CAPENSIS	LACM_84239	208.5	M	rib	left	17597.91
DELPHINUS_CAPENSIS	LACM_84239	208.5	M	rib	right	19764.09
DELPHINUS_CAPENSIS	LACM_84240	235.0	M	pelvic	left	7469.04
DELPHINUS_CAPENSIS	LACM_84240	235.0	M	pelvic	right	6601.82
DELPHINUS_CAPENSIS	LACM_84240	235.0	M	rib	left	20089.10
DELPHINUS_CAPENSIS	LACM_84240	235.0	M	rib	right	22498.31
DELPHINUS_CAPENSIS	LACM_84241	232.9	M	pelvic	left	7289.55
DELPHINUS_CAPENSIS	LACM_84241	232.9	M	pelvic	right	7247.74
DELPHINUS_CAPENSIS	LACM_84241	232.9	M	rib	left	NA
DELPHINUS_CAPENSIS	LACM_84241	232.9	M	rib	right	NA
DELPHINUS_CAPENSIS	LACM_85995	210.0	M	pelvic	left	5668.01
DELPHINUS_CAPENSIS	LACM_85995	210.0	M	pelvic	right	5935.53
DELPHINUS_CAPENSIS	LACM_85995	210.0	M	rib	left	20549.88
DELPHINUS_CAPENSIS	LACM_85995	210.0	M	rib	right	20089.29
DELPHINUS_CAPENSIS	LACM_86004	233.0	M	pelvic	left	5502.87
DELPHINUS_CAPENSIS	LACM_86004	233.0	M	pelvic	right	6323.44
DELPHINUS_CAPENSIS	LACM_86004	233.0	M	rib	left	19819.52
DELPHINUS_CAPENSIS	LACM_86004	233.0	M	rib	right	20648.31
DELPHINUS_CAPENSIS	LACM_88979	211.5	M	pelvic	left	6114.94
DELPHINUS_CAPENSIS	LACM_88979	211.5	M	pelvic	right	6022.10
DELPHINUS_CAPENSIS	LACM_88979	211.5	M	rib	left	15793.79
DELPHINUS_CAPENSIS	LACM_88979	211.5	M	rib	right	15784.90
DELPHINUS_CAPENSIS	LACM_88999	214.0	M	pelvic	left	2847.19
DELPHINUS_CAPENSIS	LACM_88999	214.0	M	pelvic	right	2664.99
DELPHINUS_CAPENSIS	LACM_88999	214.0	M	rib	left	NA
DELPHINUS_CAPENSIS	LACM_88999	214.0	M	rib	right	NA
DELPHINUS_CAPENSIS	LACM_91307	207.0	F	pelvic	left	7202.68
DELPHINUS_CAPENSIS	LACM_91307	207.0	F	pelvic	right	6475.73
DELPHINUS_CAPENSIS	LACM_91307	207.0	F	rib	left	15386.13
DELPHINUS_CAPENSIS	LACM_91307	207.0	F	rib	right	15599.26
DELPHINUS_CAPENSIS	LACM_91779	234.0	M	pelvic	left	6060.61
DELPHINUS_CAPENSIS	LACM_91779	234.0	M	pelvic	right	6241.72
DELPHINUS_CAPENSIS	LACM_91779	234.0	M	rib	left	17374.66
DELPHINUS_CAPENSIS	LACM_91779	234.0	M	rib	right	16586.94
DELPHINUS_CAPENSIS	LACM_91915	222.0	M	pelvic	left	6060.34
DELPHINUS_CAPENSIS	LACM_91915	222.0	M	pelvic	right	6510.03
DELPHINUS_CAPENSIS	LACM_91915	222.0	M	rib	left	20481.45
DELPHINUS_CAPENSIS	LACM_91915	222.0	M	rib	right	19817.37
DELPHINUS_CAPENSIS	LACM_92071	227.0	M	pelvic	left	6348.72
DELPHINUS_CAPENSIS	LACM_92071	227.0	M	pelvic	right	6834.93
DELPHINUS_CAPENSIS	LACM_92071	227.0	M	rib	left	21424.94
DELPHINUS_CAPENSIS	LACM_92071	227.0	M	rib	right	22012.38
DELPHINUS_CAPENSIS	LACM_92077	222.5	M	pelvic	left	6555.00
DELPHINUS_CAPENSIS	LACM_92077	222.5	M	pelvic	right	7144.54
DELPHINUS_CAPENSIS	LACM_92077	222.5	M	rib	left	20348.49
DELPHINUS_CAPENSIS	LACM_92077	222.5	M	rib	right	24727.81
DELPHINUS_CAPENSIS	LACM_95668	218.0	M	pelvic	left	NA
DELPHINUS_CAPENSIS	LACM_95668	218.0	M	pelvic	right	NA
DELPHINUS_CAPENSIS	LACM_95668	218.0	M	rib	left	NA
DELPHINUS_CAPENSIS	LACM_95668	218.0	M	rib	right	NA
DELPHINUS_CAPENSIS	LACM_96366	217.5	M	pelvic	left	5695.86
DELPHINUS_CAPENSIS	LACM_96366	217.5	M	pelvic	right	5743.53
DELPHINUS_CAPENSIS	LACM_96366	217.5	M	rib	left	18802.12
DELPHINUS_CAPENSIS	LACM_96366	217.5	M	rib	right	17607.91
DELPHINUS_CAPENSIS	LACM_97203	219.0	M	pelvic	left	NA
DELPHINUS_CAPENSIS	LACM_97203	219.0	M	pelvic	right	3816.86
DELPHINUS_CAPENSIS	LACM_97203	219.0	M	rib	left	NA
DELPHINUS_CAPENSIS	LACM_97203	219.0	M	rib	right	NA
DELPHINUS_CAPENSIS	LACM_97204	224.0	M	pelvic	left	5668.10
DELPHINUS_CAPENSIS	LACM_97204	224.0	M	pelvic	right	5721.05
DELPHINUS_CAPENSIS	LACM_97204	224.0	M	rib	left	NA
DELPHINUS_CAPENSIS	LACM_97204	224.0	M	rib	right	NA
DELPHINUS_CAPENSIS	LACM_97429	232.0	M	pelvic	left	6614.95
DELPHINUS_CAPENSIS	LACM_97429	232.0	M	pelvic	right	6445.43
DELPHINUS_CAPENSIS	LACM_97429	232.0	M	rib	left	22221.28
DELPHINUS_CAPENSIS	LACM_97429	232.0	M	rib	right	21702.10
DELPHINUS_CAPENSIS	LACM_97478	212.0	M	pelvic	left	4859.76
DELPHINUS_CAPENSIS	LACM_97478	212.0	M	pelvic	right	5096.29
DELPHINUS_CAPENSIS	LACM_97478	212.0	M	rib	left	NA
DELPHINUS_CAPENSIS	LACM_97478	212.0	M	rib	right	NA
DELPHINUS_DELPHIS	LACM_84254	229.0	M	pelvic	left	6497.07
DELPHINUS_DELPHIS	LACM_84254	229.0	M	pelvic	right	6551.46
DELPHINUS_DELPHIS	LACM_84254	229.0	M	rib	left	20023.28
DELPHINUS_DELPHIS	LACM_84254	229.0	M	rib	right	21050.69
DELPHINUS_DELPHIS	USNM_504107	209	M	pelvic	left	8116.85
DELPHINUS_DELPHIS	USNM_504107	209	M	pelvic	right	7807.04
DELPHINUS_DELPHIS	USNM_504107	209	M	rib	left	NA
DELPHINUS_DELPHIS	USNM_504107	209	M	rib	right	NA
DELPHINUS_DELPHIS	USNM_572632	223	M	pelvic	left	5971.04
DELPHINUS_DELPHIS	USNM_572632	223	M	pelvic	right	6022.95
DELPHINUS_DELPHIS	USNM_572632	223	M	rib	left	NA
DELPHINUS_DELPHIS	USNM_572632	223	M	rib	right	NA
DELPHINUS_DELPHIS	USNM_572775	203	M	pelvic	left	9210.94
DELPHINUS_DELPHIS	USNM_572775	203	M	pelvic	right	9043.40
DELPHINUS_DELPHIS	USNM_572775	203	M	rib	left	16933.75
DELPHINUS_DELPHIS	USNM_572775	203	M	rib	right	22879.46
DELPHINUS_DELPHIS	USNM_572776	228	M	pelvic	left	7842.52
DELPHINUS_DELPHIS	USNM_572776	228	M	pelvic	right	8045.62
DELPHINUS_DELPHIS	USNM_572776	228	M	rib	left	20181.32
DELPHINUS_DELPHIS	USNM_572776	228	M	rib	right	22406.17
DELPHINUS_DELPHIS	USNM_572777	216	M	pelvic	left	7145.68
DELPHINUS_DELPHIS	USNM_572777	216	M	pelvic	right	7166.48
DELPHINUS_DELPHIS	USNM_572777	216	M	rib	left	NA
DELPHINUS_DELPHIS	USNM_572777	216	M	rib	right	NA
DELPHINUS_DELPHIS	USNM_572859	207	F	pelvic	left	3615.56
DELPHINUS_DELPHIS	USNM_572859	207	F	pelvic	right	3901.97
DELPHINUS_DELPHIS	USNM_572859	207	F	rib	left	18090.28
DELPHINUS_DELPHIS	USNM_572859	207	F	rib	right	19466.85
DELPHINUS_DELPHIS	USNM_572871	229	M	pelvic	left	NA
DELPHINUS_DELPHIS	USNM_572871	229	M	pelvic	right	7544.85
DELPHINUS_DELPHIS	USNM_572871	229	M	rib	left	16725.38
DELPHINUS_DELPHIS	USNM_572871	229	M	rib	right	16445.92
DELPHINUS_DELPHIS	USNM_572980	225	M	pelvic	left	8390.35
DELPHINUS_DELPHIS	USNM_572980	225	M	pelvic	right	8356.69
DELPHINUS_DELPHIS	USNM_572980	225	M	rib	left	22885.93
DELPHINUS_DELPHIS	USNM_572980	225	M	rib	right	24045.74
ESCHRICHTIUS_ROBUSTUS	UWBM_35430	1293	M	pelvic	left	207747.99
ESCHRICHTIUS_ROBUSTUS	UWBM_35430	1293	M	pelvic	right	NA
ESCHRICHTIUS_ROBUSTUS	UWBM_35430	1293	M	rib	left	NA
ESCHRICHTIUS_ROBUSTUS	UWBM_35430	1293	M	rib	right	NA
EUBALAENA_GLACIALIS	MJM_070110	1370	M	pelvic	left	185216.94
EUBALAENA_GLACIALIS	MJM_070110	1370	M	pelvic	right	177788.94
EUBALAENA_GLACIALIS	MJM_070110	1370	M	rib	left	NA
EUBALAENA_GLACIALIS	MJM_070110	1370	M	rib	right	NA
EUBALAENA_GLACIALIS	UMA_4920	1370	F	pelvic	left	134571.33
EUBALAENA_GLACIALIS	UMA_4920	1370	F	pelvic	right	141604.54
EUBALAENA_GLACIALIS	UMA_4920	1370	F	rib	left	NA
EUBALAENA_GLACIALIS	UMA_4920	1370	F	rib	right	NA
FERESA_ATTENUATA	LACM_84252	214.0	M	pelvic	left	8164.64
FERESA_ATTENUATA	LACM_84252	214.0	M	pelvic	right	8553.42
FERESA_ATTENUATA	LACM_84252	214.0	M	rib	left	18842.41
FERESA_ATTENUATA	LACM_84252	214.0	M	rib	right	18339.27
FERESA_ATTENUATA	USNM_550389	212	M	pelvic	left	7726.28
FERESA_ATTENUATA	USNM_550389	212	M	pelvic	right	7384.52
FERESA_ATTENUATA	USNM_550389	212	M	rib	left	NA
FERESA_ATTENUATA	USNM_550389	212	M	rib	right	NA
FERESA_ATTENUATA	USNM_571268	230	M	pelvic	left	7618.86
FERESA_ATTENUATA	USNM_571268	230	M	pelvic	right	7459.14
FERESA_ATTENUATA	USNM_571268	230	M	rib	left	22934.60
FERESA_ATTENUATA	USNM_571268	230	M	rib	right	24604.69
GLOBICEPHALA_MELAS	CCSN_04-141	460	F	pelvic	left	13330.41
GLOBICEPHALA_MELAS	CCSN_04-141	460	F	pelvic	right	13058.23
GLOBICEPHALA_MELAS	CCSN_04-141	460	F	rib	left	NA
GLOBICEPHALA_MELAS	CCSN_04-141	460	F	rib	right	NA
GRAMPUS_GRISEUS	LACM_72546	360.7	M	pelvic	left	11858.50
GRAMPUS_GRISEUS	LACM_72546	360.7	M	pelvic	right	11649.79
GRAMPUS_GRISEUS	LACM_72546	360.7	M	rib	left	NA
GRAMPUS_GRISEUS	LACM_72546	360.7	M	rib	right	NA
GRAMPUS_GRISEUS	USNM_504126	298	M	pelvic	left	10119.75
GRAMPUS_GRISEUS	USNM_504126	298	M	pelvic	right	9919.85
GRAMPUS_GRISEUS	USNM_504126	298	M	rib	left	36717.64
GRAMPUS_GRISEUS	USNM_504126	298	M	rib	right	36816.96
GRAMPUS_GRISEUS	USNM_550391	286	M	pelvic	left	8298.56
GRAMPUS_GRISEUS	USNM_550391	286	M	pelvic	right	8655.82
GRAMPUS_GRISEUS	USNM_550391	286	M	rib	left	32707.33
GRAMPUS_GRISEUS	USNM_550391	286	M	rib	right	34993.01
INIA_GEOFFRENSIS	LACM_19590	240	M	pelvic	left	6258.45
INIA_GEOFFRENSIS	LACM_19590	240	M	pelvic	right	6578.93
INIA_GEOFFRENSIS	LACM_19590	240	M	rib	left	19992.67
INIA_GEOFFRENSIS	LACM_19590	240	M	rib	right	21518.88
INIA_GEOFFRENSIS	LACM_27074	228.0	M	pelvic	left	9902.16
INIA_GEOFFRENSIS	LACM_27074	228.0	M	pelvic	right	8977.75
INIA_GEOFFRENSIS	LACM_27074	228.0	M	rib	left	26800.53
INIA_GEOFFRENSIS	LACM_27074	228.0	M	rib	right	28057.89
LAGENORHYNCHUS_ACUTUS	USNM_504154	234.5	F	pelvic	left	4642.77
LAGENORHYNCHUS_ACUTUS	USNM_504154	234.5	F	pelvic	right	4627.42
LAGENORHYNCHUS_ACUTUS	USNM_504154	234.5	F	rib	left	29479.35
LAGENORHYNCHUS_ACUTUS	USNM_504154	234.5	F	rib	right	31827.26
LAGENORHYNCHUS_ACUTUS	USNM_550995	253	M	pelvic	left	8346.69
LAGENORHYNCHUS_ACUTUS	USNM_550995	253	M	pelvic	right	8608.16
LAGENORHYNCHUS_ACUTUS	USNM_550995	253	M	rib	left	29091.36
LAGENORHYNCHUS_ACUTUS	USNM_550995	253	M	rib	right	31487.94
LAGENORHYNCHUS_ACUTUS	USNM_571327	253	M	pelvic	left	7748.85
LAGENORHYNCHUS_ACUTUS	USNM_571327	253	M	pelvic	right	8165.33
LAGENORHYNCHUS_ACUTUS	USNM_571327	253	M	rib	left	26841.37
LAGENORHYNCHUS_ACUTUS	USNM_571327	253	M	rib	right	29325.54
LAGENORHYNCHUS_ACUTUS	USNM_571390	242	M	pelvic	left	9381.25
LAGENORHYNCHUS_ACUTUS	USNM_571390	242	M	pelvic	right	9154.14
LAGENORHYNCHUS_ACUTUS	USNM_571390	242	M	rib	left	26855.49
LAGENORHYNCHUS_ACUTUS	USNM_571390	242	M	rib	right	29597.52
LAGENORHYNCHUS_OBLIQUIDENS	LACM_84284	220.0	M	pelvic	left	9277.15
LAGENORHYNCHUS_OBLIQUIDENS	LACM_84284	220.0	M	pelvic	right	9922.77
LAGENORHYNCHUS_OBLIQUIDENS	LACM_84284	220.0	M	rib	left	24696.28
LAGENORHYNCHUS_OBLIQUIDENS	LACM_84284	220.0	M	rib	right	24362.76
LAGENORHYNCHUS_OBLIQUIDENS	LACM_88951	192.0	M	pelvic	left	6156.79
LAGENORHYNCHUS_OBLIQUIDENS	LACM_88951	192.0	M	pelvic	right	6521.14
LAGENORHYNCHUS_OBLIQUIDENS	LACM_88951	192.0	M	rib	left	20979.12
LAGENORHYNCHUS_OBLIQUIDENS	LACM_88951	192.0	M	rib	right	21102.44
LAGENORHYNCHUS_OBLIQUIDENS	LACM_88987	207.0	M	pelvic	left	5681.64
LAGENORHYNCHUS_OBLIQUIDENS	LACM_88987	207.0	M	pelvic	right	6909.63
LAGENORHYNCHUS_OBLIQUIDENS	LACM_88987	207.0	M	rib	left	20250.87
LAGENORHYNCHUS_OBLIQUIDENS	LACM_88987	207.0	M	rib	right	21478.15
LAGENORHYNCHUS_OBLIQUIDENS	LACM_92062	194.0	M	pelvic	left	5044.19
LAGENORHYNCHUS_OBLIQUIDENS	LACM_92062	194.0	M	pelvic	right	5094.31
LAGENORHYNCHUS_OBLIQUIDENS	LACM_92062	194.0	M	rib	left	18646.97
LAGENORHYNCHUS_OBLIQUIDENS	LACM_92062	194.0	M	rib	right	18740.65
LAGENORHYNCHUS_OBLIQUIDENS	LACM_95514	223.0	F	pelvic	left	2616.16
LAGENORHYNCHUS_OBLIQUIDENS	LACM_95514	223.0	F	pelvic	right	2659.34
LAGENORHYNCHUS_OBLIQUIDENS	LACM_95514	223.0	F	rib	left	NA
LAGENORHYNCHUS_OBLIQUIDENS	LACM_95514	223.0	F	rib	right	NA
LISSODELPHIS_BOREALIS	LACM_72455	264.4	M	pelvic	left	5266.59
LISSODELPHIS_BOREALIS	LACM_72455	264.4	M	pelvic	right	5409.89
LISSODELPHIS_BOREALIS	LACM_72455	264.4	M	rib	left	15866.84
LISSODELPHIS_BOREALIS	LACM_72455	264.4	M	rib	right	16669.01
LISSODELPHIS_BOREALIS	LACM_95689	217.8	M	pelvic	left	6203.07
LISSODELPHIS_BOREALIS	LACM_95689	217.8	M	pelvic	right	6247.98
LISSODELPHIS_BOREALIS	LACM_95689	217.8	M	rib	left	14926.01
LISSODELPHIS_BOREALIS	LACM_95689	217.8	M	rib	right	16215.35
LISSODELPHIS_BOREALIS	USNM_484929	265.3	M	pelvic	left	5781.72
LISSODELPHIS_BOREALIS	USNM_484929	265.3	M	pelvic	right	6063.93
LISSODELPHIS_BOREALIS	USNM_484929	265.3	M	rib	left	20782.44
LISSODELPHIS_BOREALIS	USNM_484929	265.3	M	rib	right	21281.33
MESOPLODON_CARLHUBBSI	USNM_504128	532	F	pelvic	left	6938.55
MESOPLODON_CARLHUBBSI	USNM_504128	532	F	pelvic	right	7357.73
MESOPLODON_CARLHUBBSI	USNM_504128	532	F	rib	left	110865.95
MESOPLODON_CARLHUBBSI	USNM_504128	532	F	rib	right	116954.69
ORCINUS_ORCA	LACM_84249	665.0	M	pelvic	left	NA
ORCINUS_ORCA	LACM_84249	665.0	M	pelvic	right	NA
ORCINUS_ORCA	LACM_84249	665.0	M	rib	left	NA
ORCINUS_ORCA	LACM_84249	665.0	M	rib	right	NA
PEPONOCEPHALA_ELECTRA	LACM_54090	231.0	F	pelvic	left	5956.05
PEPONOCEPHALA_ELECTRA	LACM_54090	231.0	F	pelvic	right	5890.65
PEPONOCEPHALA_ELECTRA	LACM_54090	231.0	F	rib	left	23311.05
PEPONOCEPHALA_ELECTRA	LACM_54090	231.0	F	rib	right	22682.62
PHOCOENA_PHOCOENA	LACM_72591	148.0	M	pelvic	left	10639.98
PHOCOENA_PHOCOENA	LACM_72591	148.0	M	pelvic	right	10791.25
PHOCOENA_PHOCOENA	LACM_72591	148.0	M	rib	left	NA
PHOCOENA_PHOCOENA	LACM_72591	148.0	M	rib	right	NA
PHOCOENA_PHOCOENA	LACM_84072	154.0	M	pelvic	left	11395.34
PHOCOENA_PHOCOENA	LACM_84072	154.0	M	pelvic	right	10806.69
PHOCOENA_PHOCOENA	LACM_84072	154.0	M	rib	left	14111.34
PHOCOENA_PHOCOENA	LACM_84072	154.0	M	rib	right	13531.10
PHOCOENA_PHOCOENA	LACM_84073	173.0	F	pelvic	left	6078.08
PHOCOENA_PHOCOENA	LACM_84073	173.0	F	pelvic	right	6723.36
PHOCOENA_PHOCOENA	LACM_84073	173.0	F	rib	left	14603.65
PHOCOENA_PHOCOENA	LACM_84073	173.0	F	rib	right	14742.83
PHOCOENA_PHOCOENA	LACM_84076	178.0	F	pelvic	left	7728.45
PHOCOENA_PHOCOENA	LACM_84076	178.0	F	pelvic	right	8586.53
PHOCOENA_PHOCOENA	LACM_84076	178.0	F	rib	left	17063.67
PHOCOENA_PHOCOENA	LACM_84076	178.0	F	rib	right	18853.45
PHOCOENA_PHOCOENA	LACM_84086	164.5	F	pelvic	left	4856.50
PHOCOENA_PHOCOENA	LACM_84086	164.5	F	pelvic	right	4759.71
PHOCOENA_PHOCOENA	LACM_84086	164.5	F	rib	left	13920.20
PHOCOENA_PHOCOENA	LACM_84086	164.5	F	rib	right	13766.12
PHOCOENA_PHOCOENA	LACM_95748	155.4	M	pelvic	left	NA
PHOCOENA_PHOCOENA	LACM_95748	155.4	M	pelvic	right	NA
PHOCOENA_PHOCOENA	LACM_95748	155.4	M	rib	left	NA
PHOCOENA_PHOCOENA	LACM_95748	155.4	M	rib	right	NA
PHOCOENA_PHOCOENA	USNM_504302	165	F	pelvic	left	6818.01
PHOCOENA_PHOCOENA	USNM_504302	165	F	pelvic	right	7491.60
PHOCOENA_PHOCOENA	USNM_504302	165	F	rib	left	13928.36
PHOCOENA_PHOCOENA	USNM_504302	165	F	rib	right	14014.63
PHOCOENA_PHOCOENA	USNM_550312	158	F	pelvic	left	5934.02
PHOCOENA_PHOCOENA	USNM_550312	158	F	pelvic	right	5952.75
PHOCOENA_PHOCOENA	USNM_550312	158	F	rib	left	14133.28
PHOCOENA_PHOCOENA	USNM_550312	158	F	rib	right	13742.45
PHOCOENA_PHOCOENA	USNM_571709	160.2	M	pelvic	left	12492.54
PHOCOENA_PHOCOENA	USNM_571709	160.2	M	pelvic	right	13109.79
PHOCOENA_PHOCOENA	USNM_571709	160.2	M	rib	left	17565.46
PHOCOENA_PHOCOENA	USNM_571709	160.2	M	rib	right	17586.17
PHOCOENA_PHOCOENA	USNM_571723	146.1	M	pelvic	left	9985.80
PHOCOENA_PHOCOENA	USNM_571723	146.1	M	pelvic	right	10737.97
PHOCOENA_PHOCOENA	USNM_571723	146.1	M	rib	left	10370.89
PHOCOENA_PHOCOENA	USNM_571723	146.1	M	rib	right	10614.98
PHOCOENA_PHOCOENA	USNM_572629	163	F	pelvic	left	4030.36
PHOCOENA_PHOCOENA	USNM_572629	163	F	pelvic	right	4514.74
PHOCOENA_PHOCOENA	USNM_572629	163	F	rib	left	13835.97
PHOCOENA_PHOCOENA	USNM_572629	163	F	rib	right	14913.01
PHOCOENA_PHOCOENA	USNM_572785	151.5	M	pelvic	left	12340.31
PHOCOENA_PHOCOENA	USNM_572785	151.5	M	pelvic	right	13204.87
PHOCOENA_PHOCOENA	USNM_572785	151.5	M	rib	left	13356.16
PHOCOENA_PHOCOENA	USNM_572785	151.5	M	rib	right	14313.50
PHOCOENOIDES_DALLI	LACM_54109	194.0	M	pelvic	left	NA
PHOCOENOIDES_DALLI	LACM_54109	194.0	M	pelvic	right	NA
PHOCOENOIDES_DALLI	LACM_54109	194.0	M	rib	left	NA
PHOCOENOIDES_DALLI	LACM_54109	194.0	M	rib	right	NA
PHOCOENOIDES_DALLI	LACM_54420	203.0	M	pelvic	left	6227.26
PHOCOENOIDES_DALLI	LACM_54420	203.0	M	pelvic	right	6640.69
PHOCOENOIDES_DALLI	LACM_54420	203.0	M	rib	left	25711.31
PHOCOENOIDES_DALLI	LACM_54420	203.0	M	rib	right	23581.56
PHOCOENOIDES_DALLI	LACM_54569	200.0	F	pelvic	left	3718.01
PHOCOENOIDES_DALLI	LACM_54569	200.0	F	pelvic	right	4114.47
PHOCOENOIDES_DALLI	LACM_54569	200.0	F	rib	left	22518.43
PHOCOENOIDES_DALLI	LACM_54569	200.0	F	rib	right	22757.16
PHOCOENOIDES_DALLI	LACM_84048	213.0	M	pelvic	left	4824.20
PHOCOENOIDES_DALLI	LACM_84048	213.0	M	pelvic	right	5090.54
PHOCOENOIDES_DALLI	LACM_84048	213.0	M	rib	left	20299.23
PHOCOENOIDES_DALLI	LACM_84048	213.0	M	rib	right	17899.45
PHOCOENOIDES_DALLI	LACM_84251	225.0	M	pelvic	left	6110.91
PHOCOENOIDES_DALLI	LACM_84251	225.0	M	pelvic	right	6416.75
PHOCOENOIDES_DALLI	LACM_84251	225.0	M	rib	left	23781.13
PHOCOENOIDES_DALLI	LACM_84251	225.0	M	rib	right	23893.72
PHOCOENOIDES_DALLI	LACM_96383	213.5	M	pelvic	left	4882.15
PHOCOENOIDES_DALLI	LACM_96383	213.5	M	pelvic	right	4774.13
PHOCOENOIDES_DALLI	LACM_96383	213.5	M	rib	left	20144.06
PHOCOENOIDES_DALLI	LACM_96383	213.5	M	rib	right	19114.69
PHOCOENOIDES_DALLI	LACM_96487	210.0	M	pelvic	left	3683.07
PHOCOENOIDES_DALLI	LACM_96487	210.0	M	pelvic	right	NA
PHOCOENOIDES_DALLI	LACM_96487	210.0	M	rib	left	NA
PHOCOENOIDES_DALLI	LACM_96487	210.0	M	rib	right	NA
PHOCOENOIDES_DALLI	LACM_97207	210.0	M	pelvic	left	4670.10
PHOCOENOIDES_DALLI	LACM_97207	210.0	M	pelvic	right	4556.64
PHOCOENOIDES_DALLI	LACM_97207	210.0	M	rib	left	NA
PHOCOENOIDES_DALLI	LACM_97207	210.0	M	rib	right	NA
PHOCOENOIDES_DALLI	USNM_396304	202	M	pelvic	left	5857.04
